 IP,Date&Time,Request,StatusCode,Size,UserAgent,RandomLogNumber
 175.61.122.228,07/Feb/2018:07:41:24 +0300,GET /usr/admin/developer,502 HTTP/1.1,4984,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,310
 51.201.222.86,14/Sep/2018:12:27:59 +0300,POST /usr/admin/developer,403 HTTP/1.1,4989,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.116 Mobile Safari/537.36 EdgA/45.12.4.5121,2795
 47.50.73.66,12/Aug/2018:10:27:37 +0300,DELETE /usr/admin,500 HTTP/1.1,5032,http://carter.com/list/listmain.html,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,1301
 71.14.33.245,03/Apr/2018:06:10:07 +0300,PUT /usr/register,500 HTTP/1.1,4946,http://carter.com/list/listmain.html,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36,3296
 10.10.181.193,11/Feb/2018:01:03:14 +0300,POST /usr/login,500 HTTP/1.1,4991,-,Mozilla/5.0 (Android 10; Mobile; rv:84.0) Gecko/84.0 Firefox/84.0,4322
 43.160.155.116,19/Aug/2019:05:25:30 +0300,PUT /usr/admin/developer,404 HTTP/1.1,5032,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,459
 106.135.210.164,24/Aug/2018:06:21:14 +0300,POST /usr/login,502 HTTP/1.1,4985,-,Mozilla/5.0 (Linux; Android 10; ONEPLUS A6000) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Mobile Safari/537.36 OPR/61.2.3076.56749,3712
 172.165.33.51,07/Jul/2018:07:04:00 +0300,POST /usr/admin,404 HTTP/1.1,5050,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,4142
 190.89.136.66,17/Sep/2019:02:08:26 +0300,PUT /usr/login,304 HTTP/1.1,4964,http://carter.com/list/listmain.html,Mozilla/5.0 (iPhone; CPU iPhone OS 12_4_9 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.2 Mobile/15E148 Safari/604.1,2548
 43.79.88.4,27/Sep/2018:03:21:56 +0300,GET /usr,404 HTTP/1.1,4922,-,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4380.0 Safari/537.36 Edg/89.0.759.0,1445
